bac_type,bac_type_id,bac_type_name,extracted_at,extraction_phase,field_of_study,final_merge_timestamp,governorate,institution,ramz_code,ramz_id,ramz_link,score_2011,score_2012,score_2013,score_2014,score_2015,score_2016,score_2017,score_2018,score_2019,score_2020,score_2021,score_2022,score_2023,score_2024,scores_corrected_at,seven_percent,specialization_code_detailed,study_duration,table_criteria,table_institution,table_location,table_specialization,table_university,university,university_id,university_name
,2,رياضيات,2025-07-11T18:34:03.762346,detailed,علوم الصحة والطب وطب الأسنان والصيدلة : علوم الصحة والطب وطب الأسنان والصيدلة,2025-07-11T18:47:51.762192,,"العنوان :
الهاتف :",10799,210799,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=210799,155.0697,145.841,147.35,152.689,142.8183,145.7875,136.3983,140.1165,153.8018,134.06,161.2704,140.705,147.8045,159.875,2025-07-11T22:52:10.251228,نعم,,سنوات,FG+SVT,المدرسة العليا لعلوم وتقنيات الصحة بتونس,تونس,الإجازة في علوم الـتــولـيـــد - قابلة,جامعة تونس المنار,,03,جامعة تونس المنار
,9,رياضة,2025-07-11T18:34:03.748321,detailed,الثقافة والفنون الجميلة والفنون والحرف : الثقافة والفنون الجميلة والفنون والحرف,2025-07-11T18:47:51.762192,,"العنوان :
الهاتف :",11209,911209,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=911209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.775,0.0,148.73,93.0845,127.94,168.24,2025-07-11T22:52:14.130078,نعم,,سنوات,FG+PH,المدرسة العليا لعلوم و تكنولوجيات التصميم,تونس,الاجازة في تصميم الصورة,جامعة منوبة,,02,جامعة منوبة
,5,العلوم التقنية,2025-07-11T18:34:03.863856,detailed,العلوم الصحيحة والتكنولوجيا : العلوم الصحيحة والتكنولوجيا,2025-07-11T18:47:51.762192,,"العنوان :
الهاتف :",10523,510523,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=510523,126.63,139.742,140.491,146.3225,148.3341,151.0305,139.6939,140.5713,152.3894,160.9334,170.5206,171.6548,180.1506,179.3534,2025-07-11T22:52:18.657083,نعم,,سنوات,FG+(M+Info)/2,المعهد العالي لفنون الملتميديا بمنوبة,تونس,الإجازة في علوم الإعلامية,جامعة منوبة,,02,جامعة منوبة
,3,علوم تجريبية,2025-07-11T18:34:03.749318,detailed,العلوم الإنسانية والإجتماعية والدينية والتربية : العلوم الإنسانية والإجتماعية والدينية والتربية,2025-07-11T18:47:51.762192,,"العنوان :
الهاتف :",10160,310160,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=310160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.835,117.2886,124.225,119.095,121.31,122.325,2025-07-11T22:52:22.590063,نعم,,سنوات,FG+(F+ANG)/2,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,الاجازة في الجيوبوليتيك و العلاقات الدولية,جامعة منوبة,,02,جامعة منوبة
,3,علوم تجريبية,2025-07-11T18:34:03.591517,detailed,العلوم القانونية والعلوم السياسية : العلوم القانونية والعلوم السياسية,2025-07-11T18:47:51.762192,,"العنوان :
الهاتف :",10301,310301,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=310301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.6462,150.5169,145.1937,146.6275,149.5967,147.6279,2025-07-11T22:52:26.495489,نعم,,سنوات,FG+(AR+FR)/2,كلية الحقوق والعلوم السياسية بتونس,تونس,الإجازة في القانون,جامعة تونس المنار,,03,جامعة تونس المنار
,5,العلوم التقنية,2025-07-11T18:34:03.731068,detailed,العلوم الإنسانية والإجتماعية والدينية والتربية : العلوم الإنسانية والإجتماعية والدينية والتربية,2025-07-11T18:47:51.762192,,"العنوان :
الهاتف :",10260,510260,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=510260,84.13,82.95,87.55,86.0632,90.1932,73.1551,78.3251,77.6752,90.425,74.9883,99.3319,0.0,0.0,98.0102,2025-07-11T22:52:30.369409,نعم,,سنوات,FG+Inf,المعهد العالي لأصول الدين بتونس,تونس,الإجازة في فنون التراث الإسلامي,جامعة الزيتونة,,05,جامعة الزيتونة
,1,آداب,2025-07-11T18:34:03.877024,detailed,علوم الصحة والطب وطب الأسنان والصيدلة : علوم الصحة والطب وطب الأسنان والصيدلة,2025-07-11T18:47:51.762192,,"العنوان :
الهاتف :",10745,110745,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=110745,0.0,0.0,0.0,91.675,96.1,99.275,96.3385,98.145,112.925,110.66,117.86,111.835,119.91,124.605,2025-07-11T22:52:34.325011,نعم,,سنوات,FG+SVT,المدرسة العليا لعلوم وتقنيات الصحة بتونس,تونس,الإجازة في تقويـم النطـق والكلام,جامعة تونس المنار,,03,جامعة تونس المنار
,3,علوم تجريبية,2025-07-11T18:34:03.750316,detailed,العلوم الإقتصادية وعلوم التصرف : العلوم الإقتصادية وعلوم التصرف,2025-07-11T18:47:51.762192,,"العنوان :
الهاتف :",10312,310312,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=310312,111.1195,98.825,102.125,109.725,115.575,123.925,125.7518,117.6733,163.905,162.55,178.2513,166.905,166.7328,143.701,2025-07-11T22:52:38.334556,نعم,,سنوات,FG+M,المعهد العالي للتصرف بتونس,تونس,الاجازة في العلوم الاقتصادية,جامعة تونس,,01,جامعة تونس
,1,آداب,2025-07-11T18:34:18.728263,detailed,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,2025-07-11T18:47:51.762192,,"العنوان :
الهاتف :",10119,110119,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=110119,91.125,91.8,92.025,86.5,93.975,93.2335,93.3,91.9448,114.13,104.285,108.84,104.4485,102.54,103.31,2025-07-11T22:52:42.373993,نعم,,سنوات,FG+(AR+FR)/2,المعهد العالي للعلوم الإنسانية بتونس,تونس,الإجازة في لغة الإشارات,جامعة تونس المنار,,03,جامعة تونس المنار
,4,إقتصاد وتصرف,2025-07-11T18:34:18.761462,detailed,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,2025-07-11T18:47:51.762192,,"العنوان :
الهاتف :",13102,413102,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=413102,75.8505,86.0999,92.9081,75.9131,101.593,100.4998,104.9083,85.3949,109.5394,76.7229,87.8534,111.5208,92.9885,111.9648,2025-07-11T22:52:46.250647,نعم,,سنوات,FG+ANG,المعهد العالي للغات بتونس,تونس,الإجازة في الإنقليزية,جامعة قرطاج,,04,جامعة  قرطاج
